095 1.01	 1.01	 1.01	 0.93	 0.86	 0.85	 1.01	 0.89	 0.86	 0.86	 0.85	 1.00	 0.86	 0.85	 0.85	 0.85	 0.90	 0.85	 0.85	 0.85	 0.85	 temple_2/frame_0008.png
096 1.98	 1.98	 1.97	 1.96	 1.98	 1.98	 1.98	 2.02	 1.98	 1.98	 1.95	 1.98	 1.98	 1.98	 1.95	 1.95	 2.03	 1.98	 1.95	 1.95	 1.95	 temple_2/frame_0018.png
097 10.19	 11.80	 11.79	 11.47	 11.45	 11.45	 11.47	 11.45	 11.45	 11.45	 11.45	 11.47	 11.44	 11.45	 11.45	 11.45	 11.43	 11.44	 11.44	 11.45	 11.45	 temple_2/frame_0028.png
098 0.51	 0.51	 0.52	 0.50	 0.49	 0.49	 0.51	 0.51	 0.50	 0.50	 0.50	 0.51	 0.50	 0.50	 0.50	 0.50	 0.50	 0.50	 0.50	 0.50	 0.50	 temple_2/frame_0038.png
099 0.39	 0.39	 0.39	 0.39	 0.36	 0.36	 0.39	 0.39	 0.36	 0.36	 0.36	 0.39	 0.36	 0.36	 0.36	 0.36	 0.39	 0.36	 0.36	 0.36	 0.36	 temple_2/frame_0048.png
100 0.86	 0.86	 0.86	 0.86	 0.86	 0.86	 0.86	 0.86	 0.86	 0.91	 0.91	 0.86	 0.86	 0.91	 0.91	 0.91	 0.86	 0.91	 0.91	 0.91	 0.91	 temple_3/frame_0009.png
101 2.08	 2.08	 2.12	 2.35	 2.35	 2.35	 2.12	 2.35	 2.35	 2.35	 2.35	 2.36	 2.35	 2.35	 2.35	 2.39	 2.36	 2.35	 2.35	 2.35	 2.39	 temple_3/frame_0019.png
102 11.19	 11.12	 11.10	 11.11	 11.12	 11.16	 11.13	 11.13	 11.13	 11.11	 11.17	 11.13	 11.15	 11.14	 11.13	 11.17	 11.15	 11.17	 11.14	 11.13	 11.18	 temple_3/frame_0029.png
103 12.77	 12.44	 12.86	 12.85	 12.81	 12.80	 12.43	 12.85	 12.84	 12.84	 12.87	 12.43	 12.87	 12.84	 12.84	 12.87	 12.46	 12.84	 12.83	 12.86	 12.87	 temple_3/frame_0039.png
104 1.77	 1.71	 1.70	 2.02	 2.02	 2.02	 1.70	 2.02	 2.02	 2.02	 2.02	 1.71	 2.02	 2.02	 2.02	 2.02	 2.02	 2.02	 2.02	 2.02	 2.02	 temple_3/frame_0049.png
aee2.73	 2.76	 2.77	 2.77	 2.81	 2.81	 2.75	 2.77	 2.81	 2.81	 2.82	 2.77	 2.81	 2.81	 2.82	 2.82	 2.79	 2.81	 2.82	 2.82	 2.82	 
